CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.57079,0.03351,2.13728,0.00774,-0.00772,Calculated,0.14619,2.6E-4,-2.6E-4,Carter et al. 2024,1.306,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.60414,0.03319,2.13345,0.00779,-0.00795,Calculated,0.14606,2.7E-4,-2.7E-4,Carter et al. 2024,1.3048,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.63718,0.03289,2.12967,0.00796,-0.00788,Calculated,0.14593,2.7E-4,-2.7E-4,Carter et al. 2024,1.3037,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.66991,0.03259,2.13178,0.00803,-0.0081,Calculated,0.14601,2.7E-4,-2.8E-4,Carter et al. 2024,1.3043,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.70236,0.0323,2.10344,0.00824,-0.00834,Calculated,0.14503,2.8E-4,-2.9E-4,Carter et al. 2024,1.2956,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.73451,0.03201,2.12998,0.00851,-0.00831,Calculated,0.14594,2.9E-4,-2.8E-4,Carter et al. 2024,1.3038,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.76638,0.03173,2.1158,0.00842,-0.00844,Calculated,0.14546,2.9E-4,-2.9E-4,Carter et al. 2024,1.2994,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.79798,0.03146,2.12047,0.00876,-0.00864,Calculated,0.14562,3.0E-4,-3.0E-4,Carter et al. 2024,1.3008,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.82931,0.0312,2.11754,0.00904,-0.00916,Calculated,0.14552,3.1E-4,-3.1E-4,Carter et al. 2024,1.2999,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.86038,0.03094,2.11221,0.0092,-0.00911,Calculated,0.14533,3.2E-4,-3.1E-4,Carter et al. 2024,1.2983,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.89119,0.03068,2.09955,0.00921,-0.00929,Calculated,0.1449,3.2E-4,-3.2E-4,Carter et al. 2024,1.2944,0.029,-0.029,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.92175,0.03044,2.11569,0.00956,-0.00975,Calculated,0.14545,3.3E-4,-3.4E-4,Carter et al. 2024,1.2994,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.95207,0.03019,2.10572,0.00997,-0.01002,Calculated,0.14511,3.4E-4,-3.5E-4,Carter et al. 2024,1.2963,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
3.98214,0.02996,2.13365,0.00979,-0.00992,Calculated,0.14607,3.3E-4,-3.4E-4,Carter et al. 2024,1.3049,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.01199,0.02973,2.13978,0.0101,-0.00999,Calculated,0.14628,3.4E-4,-3.4E-4,Carter et al. 2024,1.3067,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.0416,0.0295,2.14509,0.00988,-0.01015,Calculated,0.14646,3.4E-4,-3.5E-4,Carter et al. 2024,1.3084,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.07098,0.02928,2.13298,0.01041,-0.0103,Calculated,0.14605,3.6E-4,-3.5E-4,Carter et al. 2024,1.3047,0.0293,-0.0293,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.10015,0.02906,2.09664,0.01067,-0.01077,Calculated,0.1448,3.7E-4,-3.7E-4,Carter et al. 2024,1.2935,0.0291,-0.0291,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.1291,0.02884,2.11881,0.01076,-0.01089,Calculated,0.14556,3.7E-4,-3.7E-4,Carter et al. 2024,1.3003,0.0292,-0.0292,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.15784,0.02863,2.14061,0.01068,-0.01053,Calculated,0.14631,3.6E-4,-3.6E-4,Carter et al. 2024,1.307,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.18637,0.02843,2.13725,0.01085,-0.01126,Calculated,0.14619,3.7E-4,-3.9E-4,Carter et al. 2024,1.306,0.0294,-0.0294,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.21469,0.02823,2.19195,0.01116,-0.0114,Calculated,0.14805,3.8E-4,-3.9E-4,Carter et al. 2024,1.3226,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.24282,0.02803,2.20186,0.01123,-0.01123,Calculated,0.14839,3.8E-4,-3.8E-4,Carter et al. 2024,1.3256,0.0298,-0.0298,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.27075,0.02783,2.26079,0.01144,-0.01152,Calculated,0.15036,3.8E-4,-3.8E-4,Carter et al. 2024,1.3432,0.0302,-0.0302,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.29849,0.02764,2.25085,0.01188,-0.01161,Calculated,0.15003,4.0E-4,-3.9E-4,Carter et al. 2024,1.3402,0.0301,-0.0301,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.32604,0.02746,2.25537,0.01197,-0.01187,Calculated,0.15018,4.0E-4,-4.0E-4,Carter et al. 2024,1.3416,0.0302,-0.0302,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.3534,0.02727,2.27983,0.01216,-0.01236,Calculated,0.15099,4.0E-4,-4.1E-4,Carter et al. 2024,1.3488,0.0303,-0.0303,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.38059,0.02709,2.26039,0.01264,-0.01276,Calculated,0.15035,4.2E-4,-4.3E-4,Carter et al. 2024,1.3431,0.0302,-0.0302,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.40759,0.02691,2.2705,0.01258,-0.01282,Calculated,0.15068,4.2E-4,-4.3E-4,Carter et al. 2024,1.3461,0.0303,-0.0303,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.43442,0.02674,2.24623,0.0127,-0.01263,Calculated,0.14987,4.2E-4,-4.2E-4,Carter et al. 2024,1.3389,0.0301,-0.0301,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.46107,0.02657,2.20075,0.01314,-0.01311,Calculated,0.14835,4.4E-4,-4.4E-4,Carter et al. 2024,1.3252,0.0299,-0.0299,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.48756,0.0264,2.23526,0.01323,-0.01339,Calculated,0.14951,4.4E-4,-4.5E-4,Carter et al. 2024,1.3356,0.0301,-0.0301,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.51388,0.02624,2.1748,0.01332,-0.01369,Calculated,0.14747,4.5E-4,-4.6E-4,Carter et al. 2024,1.3174,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.54004,0.02607,2.18906,0.01399,-0.01402,Calculated,0.14795,4.7E-4,-4.7E-4,Carter et al. 2024,1.3217,0.0298,-0.0298,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.56603,0.02591,2.17131,0.01414,-0.01407,Calculated,0.14735,4.8E-4,-4.8E-4,Carter et al. 2024,1.3163,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
4.59187,0.02576,2.1726,0.01497,-0.01476,Calculated,0.1474,5.1E-4,-5.0E-4,Carter et al. 2024,1.3167,0.0297,-0.0297,Calculated,,,,0.918,0.022,-0.019,Maciejewski et al. 2016
