CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
1.69777,0.0173,1.87307,0.00558,-0.00558,Fournier-Tondreau et al. 2024,0.13686,2.0E-4,-2.0E-4,Calculated,0.9975,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.71507,0.01748,1.86742,0.00568,-0.00568,Fournier-Tondreau et al. 2024,0.13665,2.1E-4,-2.1E-4,Calculated,0.996,0.0492,-0.0492,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.73255,0.01765,1.85709,0.00559,-0.00559,Fournier-Tondreau et al. 2024,0.13627,2.0E-4,-2.1E-4,Calculated,0.9933,0.0491,-0.0491,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.7502,0.01783,1.87849,0.00574,-0.00574,Fournier-Tondreau et al. 2024,0.13706,2.1E-4,-2.1E-4,Calculated,0.999,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.76803,0.01801,1.87439,0.00594,-0.00594,Fournier-Tondreau et al. 2024,0.13691,2.2E-4,-2.2E-4,Calculated,0.9979,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.78605,0.0182,1.86859,0.00633,-0.00633,Fournier-Tondreau et al. 2024,0.1367,2.3E-4,-2.3E-4,Calculated,0.9963,0.0492,-0.0492,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.80425,0.01838,1.87839,0.00622,-0.00622,Fournier-Tondreau et al. 2024,0.13705,2.3E-4,-2.3E-4,Calculated,0.9989,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.82263,0.01857,1.87907,0.00626,-0.00626,Fournier-Tondreau et al. 2024,0.13708,2.3E-4,-2.3E-4,Calculated,0.9991,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.8412,0.01876,1.87814,0.00655,-0.00655,Fournier-Tondreau et al. 2024,0.13705,2.4E-4,-2.4E-4,Calculated,0.9989,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.85996,0.01895,1.89088,0.00667,-0.00667,Fournier-Tondreau et al. 2024,0.13751,2.4E-4,-2.4E-4,Calculated,1.0023,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
